City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
168,Iberia,US,76.05,broken clouds,29.9502,-91.7507,back to back rv park
169,Faanui,PF,81.25,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
170,Ukiah,US,74.97,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
171,Necochea,AR,81.03,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
172,Ende,ID,78.85,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
173,Sapa,PH,79.61,overcast clouds,5.1544,120.3241,
174,Barra Do Garcas,BR,82.98,heavy intensity rain,-15.89,-52.2567,Hotel Pousada Tropical
175,Kutum,SD,67.48,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
176,Arraial Do Cabo,BR,82.36,few clouds,-22.9661,-42.0278,Pousada Porto Praia
177,Makakilo City,US,78.62,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
178,Namwala,ZM,82.98,clear sky,-15.7504,26.4384,Corner Point Lodge
179,San Rafael,AR,76.71,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
180,Mackay,AU,78.04,broken clouds,-21.15,149.2,International Lodge Motel
181,Port Blair,IN,79.45,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
182,Resistencia,AR,89.1,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
183,Anloga,GH,84.42,clear sky,5.7947,0.8973,Pin Drop Hotel
184,Gao,ML,79.54,clear sky,16.6362,1.637,
185,Pecos,US,74.23,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
186,Mount Isa,AU,83.97,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
187,Nouadhibou,MR,73.38,sand,20.931,-17.0347,El Medina
188,Flinders,AU,65.21,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
189,Goundam,ML,84.11,scattered clouds,16.4145,-3.6708,
190,La Primavera,CO,83.57,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
191,Chibombo,ZM,74.82,scattered clouds,-14.6569,28.0706,Chibombo District Council Guest House
192,Morgan City,US,75.99,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
193,Nagua,DO,85.44,scattered clouds,19.3832,-69.8474,Hotel Cambri
194,Tecoanapa,MX,84.36,clear sky,16.5167,-98.75,Hotel Manglares
195,Tabou,CI,79.86,few clouds,4.423,-7.3528,hotêl doufoulougou
196,Cidreira,BR,68.85,overcast clouds,-30.1811,-50.2056,Hotel Castelo
197,Ferkessedougou,CI,85.53,clear sky,9.6,-5.2,Hotel Chateau
