City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,Port Hawkesbury,45.6169,-61.3485,38.79,69,75,11.5,CA,2021-11-28 03:38:43
247,Guider,9.9342,13.9486,73.44,19,58,5.44,CM,2021-11-28 03:38:44
248,Saint John,45.2727,-66.0677,25.83,86,40,12.66,CA,2021-11-28 03:38:44
249,Cubarral,3.7935,-73.8406,72.14,84,93,4.76,CO,2021-11-28 03:38:45
250,Yamada,39.4667,141.95,48.63,45,40,11.07,JP,2021-11-28 03:38:45
251,Lac Du Bonnet,50.2536,-96.0612,23.27,85,85,10.87,CA,2021-11-28 03:38:46
252,Port-Gentil,-0.7193,8.7815,78.48,85,100,5.26,GA,2021-11-28 03:38:46
253,Tacub,8.1875,124.1081,84.27,74,97,4.52,PH,2021-11-28 03:38:47
254,Maceio,-9.6658,-35.7353,80.04,83,20,2.3,BR,2021-11-28 03:38:47
255,Cajamarca,-7.1638,-78.5003,54.99,94,100,0.4,PE,2021-11-28 03:38:47
256,Bobrovka,54.047,61.7455,14.38,74,48,9.31,RU,2021-11-28 03:38:48
257,Aksu,41.1231,80.2644,30.6,49,0,4.68,CN,2021-11-28 03:38:48
258,Kungurtug,50.5994,97.5228,7.63,66,65,1.36,RU,2021-11-28 03:38:49
259,Pemangkat,1.1667,108.9667,79.09,84,100,14.05,ID,2021-11-28 03:38:50
260,Henties Bay,-22.116,14.2845,56.97,90,0,4.7,NA,2021-11-28 03:38:50
261,Panguna,-6.3164,155.4848,77.22,72,100,2.48,PG,2021-11-28 03:38:50
262,Zeya,53.75,127.2667,18.63,45,100,5.75,RU,2021-11-28 03:38:51
263,Hagersville,42.9668,-80.0497,28.49,95,100,2.17,CA,2021-11-28 03:38:52
264,Merrill,45.1805,-89.6835,33.57,69,90,5.75,US,2021-11-28 03:38:52
265,Takoradi,4.8845,-1.7554,78.64,82,70,5.93,GH,2021-11-28 03:38:52
266,Taft,31.7471,54.2088,44.55,61,20,4.61,IR,2021-11-28 03:38:53
267,Angoche,-16.2325,39.9086,77.38,60,98,11.83,MZ,2021-11-28 03:36:55
268,Vao,-22.6667,167.4833,75.49,85,92,18.16,NC,2021-11-28 03:38:53
269,Harper,4.375,-7.7169,78.84,85,26,7.76,LR,2021-11-28 03:38:54
270,Yuancheng,36.652,107.7896,42.6,68,7,5.28,CN,2021-11-28 03:39:54
271,Hosingen,50.0178,6.0933,32.2,97,99,2.26,LU,2021-11-28 03:39:55
272,Beringovskiy,63.05,179.3167,1.51,98,97,6.11,RU,2021-11-28 03:35:05
273,Luderitz,-26.6481,15.1594,59.2,84,12,6.53,NA,2021-11-28 03:39:56
274,Belozerskoye,55.8214,65.5842,17.87,91,86,8.39,RU,2021-11-28 03:39:56
275,Lamu,-2.2717,40.902,77.22,84,100,2.84,KE,2021-11-28 03:39:56
276,Ust-Tsilma,65.441,52.1498,-7.31,100,76,2.64,RU,2021-11-28 03:39:57
277,Rockhampton,-23.3833,150.5,80.49,69,90,10.36,AU,2021-11-28 03:39:57
278,Lincoln,40.8,-96.667,45.84,53,1,9.22,US,2021-11-28 03:36:22
