City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
637,Vostok,46.4856,135.8833,17.06,96,100,4.07,RU,2021-12-02 18:43:39,light snow
638,Umm Kaddadah,13.6017,26.6876,71.94,26,0,13.33,SD,2021-12-02 18:43:39,clear sky
639,Piterka,50.6803,47.4454,30.85,83,100,12.68,RU,2021-12-02 18:44:40,overcast clouds
640,Baiao,-2.7906,-49.6717,86.94,62,100,1.05,BR,2021-12-02 18:44:40,overcast clouds
641,Omsukchan,62.5333,155.8,-21.08,99,100,7.2,RU,2021-12-02 18:44:41,light snow
642,Katiola,8.1333,-5.1,88.43,35,7,4.7,CI,2021-12-02 18:44:41,clear sky
643,Oyotun,-6.8519,-79.3036,74.79,47,96,9.15,PE,2021-12-02 18:44:41,overcast clouds
644,Timbiqui,2.7717,-77.6654,79.72,81,72,7.92,CO,2021-12-02 18:44:42,light rain
645,Vilyuysk,63.7553,121.6247,-25.89,99,82,4.61,RU,2021-12-02 18:44:42,broken clouds
646,Chifeng,42.2683,118.9636,24.03,51,4,7.16,CN,2021-12-02 18:44:43,clear sky
647,Baykalsk,51.5058,104.1469,31.12,61,75,8.77,RU,2021-12-02 18:44:43,broken clouds
648,Foso,5.7012,-1.2866,77.99,82,68,5.88,GH,2021-12-02 18:44:44,broken clouds
649,Opunake,-39.4556,173.8583,64.35,93,100,5.55,NZ,2021-12-02 18:44:44,overcast clouds
650,Krivosheino,57.3431,83.9261,24.85,79,100,14.09,RU,2021-12-02 18:44:45,overcast clouds
651,Tual,-5.6667,132.75,82.08,75,100,5.97,ID,2021-12-02 18:44:45,overcast clouds
652,Soure,-0.7167,-48.5233,85.01,65,100,8.86,BR,2021-12-02 18:44:46,overcast clouds
653,Champerico,14.3,-91.9167,94.77,62,55,7.58,GT,2021-12-02 18:44:46,broken clouds
654,Rio Cuarto,-33.1307,-64.3499,87.67,37,40,21.85,AR,2021-12-02 18:42:38,scattered clouds
655,Kysyl-Syr,63.8986,122.7617,-26.09,96,50,6.85,RU,2021-12-02 18:44:47,scattered clouds
656,Kaitong,44.8135,123.15,11.19,84,5,6.73,CN,2021-12-02 18:44:47,clear sky
657,Ballyhaunis,53.7667,-8.7667,49.05,98,100,11.95,IE,2021-12-02 18:44:47,moderate rain
658,Kristinehamn,59.3098,14.1081,20.71,75,51,4.88,SE,2021-12-02 18:44:48,broken clouds
659,Biu,10.6129,12.1946,76.3,21,17,7.23,NG,2021-12-02 18:44:48,few clouds
660,Kailua,21.4022,-157.7394,80.08,85,20,3.44,US,2021-12-02 18:42:01,few clouds
661,La Baneza,42.3003,-5.8977,41.2,75,14,11.92,ES,2021-12-02 18:44:49,few clouds
662,Sal Rei,16.1833,-22.9167,75.4,60,75,18.41,CV,2021-12-02 18:44:50,broken clouds
663,Hopkinton,41.4612,-71.7776,60.39,73,75,5.01,US,2021-12-02 18:44:07,broken clouds
664,Saint-Ambroise,48.5501,-71.3324,30.69,86,100,11.5,CA,2021-12-02 18:44:50,snow
665,Dingle,10.9995,122.6711,74.23,91,100,8.46,PH,2021-12-02 18:41:12,overcast clouds
666,Bacolod,10.6667,122.95,76.84,88,97,11.79,PH,2021-12-02 18:44:51,overcast clouds
667,Maiduguri,11.8464,13.1603,76.39,23,28,9.37,NG,2021-12-02 18:44:52,scattered clouds
668,Gazli,40.1333,63.45,56.62,46,100,16.49,UZ,2021-12-02 18:44:52,overcast clouds
